Number Energy PSNR
253 11.2806304 10.2674
254 10.6569758 11.5876
255 10.2970026 12.7993
256 9.5787674 14.9454
257 9.1182102 13.1835
258 8.9488102 12.6156
259 8.5983916 13.7267
260 8.4215742 14.8823
261 12.3900426 19.3585
262 11.9062094 12.9275
263 11.7164516 11.4117
264 11.3441238 12.5865
265 10.9462826 14.6843
266 10.4708532 19.3055
267 9.9199118 14.9309
268 9.6122722 13.7952
269 9.3120186 15.3416
270 8.8596336 18.0901
271 12.4299964 24.7059
272 11.9452742 13.8675
273 11.7311216 12.3078
274 12.1849394 12.9194
275 11.105997 15.3608
276 10.6313622 22.5599
277 9.950091 15.0683
278 9.6180144 14.6489
279 9.0246746 16.1734
280 9.0321828 21.7274
281 12.3324914 22.3573
282 11.9391848 13.706
283 11.668436 12.3841
284 10.6257214 11.5436
285 10.209529 12.8003
286 9.8107148 15.0341
287 9.1951004 13.2324
288 8.9618938 12.6374
289 8.6012716 13.6852
290 8.6888476 14.8438
291 12.282448 11.9597
292 11.682517 0
293 11.0525384 0
294 10.7729442 0
295 10.3596762 10.4076
296 9.7184704 11.1196
297 9.1042962 10.3107
298 8.811553 10.1982
299 8.5793544 10.6761
300 8.6287 11.3172
301 12.7841884 16.017
302 11.7401966 11.7733
303 11.217228 10.285
304 10.7440434 11.6174
305 10.336284 12.9383
306 9.7861482 15.2941
307 9.2849646 13.3103
308 8.9405274 12.7128
309 8.7051088 13.7347
310 8.2512558 14.7547
311 12.1773896 19.9791
312 11.9953806 12.9858
313 11.6859956 11.428
314 11.353537 12.6087
315 10.9583354 14.6416
316 10.3982468 18.4757
317 9.851791 14.7759
318 9.6038662 13.9878
319 9.1387644 15.5782
320 8.8052938 16.8259
321 12.6099098 28.7935
322 12.0157392 13.8787
323 11.9217038 12.3216
324 11.3620556 12.5013
325 11.0344494 14.9852
326 10.543072 22.5267
327 10.0806904 15.3029
328 9.6323476 14.1739
329 9.3485514 16.7715
330 8.9647538 20.0951
331 12.4156588 27.3507
332 12.0639422 13.7939
333 11.6943676 12.3801
334 11.5376046 11.5982
335 10.8134618 12.9449
336 9.7595592 15.2169
337 9.1597924 13.2544
338 8.9852836 12.636
339 8.6703484 13.7356
340 8.5041724 14.7321
341 12.0867208 12.3506
342 11.7509256 0
343 10.9871202 0
344 10.8746034 0
345 10.2704498 10.3896
346 9.6083278 11.2262
347 9.112304 10.4049
348 9.0504918 10.3564
349 8.6375012 10.6697
350 7.9664362 11.3146
351 11.8941924 15.1135
352 11.6994056 11.4953
353 11.4186376 9.96022
354 10.855041 11.505
355 10.3590334 12.5796
356 9.8779202 14.6475
357 9.3131994 12.623
358 9.1036584 12.4959
359 8.8352594 13.542
360 9.479352 14.9049
361 12.033006 18.6409
362 11.83501 12.6947
363 11.593717 11.1367
364 11.3387366 12.7122
365 10.937156 14.5494
366 10.4313628 19.1174
367 9.974121 14.6528
368 9.9859014 14.305
369 10.4320054 15.9244
370 8.9848232 18.794
371 11.9741096 21.9339
372 11.9252438 13.5513
373 11.6130722 12.1082
374 11.254113 13.2375
375 10.973415 15.7438
376 10.3155668 26.4055
377 9.9230708 15.7589
378 9.5749028 15.6447
379 9.21961 18.0305
380 8.8933952 24.8302
381 12.2297578 20.1471
382 12.0010954 13.2848
383 11.720313 12.0455
384 10.794415 11.5079
385 10.4732542 12.5832
386 9.8266054 14.697
387 9.289818 12.6296
