ratio Count
0.05 0.0
0.1 0.0
0.15 0.0
0.2 0.0
0.25 0.0
0.3 0.0
0.35 0.000263435194942
0.4 0.0
0.45 0.000263435194942
0.5 0.00289778714436
0.55 0.0210748155954
0.6 0.0661222339305
0.65 0.129346680717
0.7 0.170442571128
0.75 0.180453108535
0.8 0.208377239199
0.85 0.286354056902
0.9 0.383298208641
0.95 0.522655426765
1.0 0.613804004215
1.05 0.662539515279
1.1 0.707060063224
1.15 0.711011591149
1.2 0.715489989463
1.25 0.800842992624
1.3 0.848261327713
1.35 0.887776606955
1.4 0.926238145416
1.45 0.985247629083
1.5 1.0
1.55 0.992623814542
1.6 0.982613277134
1.65 0.973129610116
1.7 0.958377239199
1.75 0.929135932561
1.8 0.912539515279
1.85 0.883034773446
1.9 0.862750263435
1.95 0.844573234984
2.0 0.825342465753
2.05 0.807955742887
2.1 0.783983140148
2.15 0.750790305585
2.2 0.709430979979
2.25 0.674657534247
2.3 0.63645943098
2.35 0.607481559536
2.4 0.575605900948
2.45 0.549262381454
2.5 0.52133825079
2.55 0.489989462592
2.6 0.468387776607
2.65 0.445995785037
2.7 0.420179135933
2.75 0.395152792413
2.8 0.384615384615
2.85 0.36143308746
2.9 0.339304531085
2.95 0.31664910432
3.0 0.291622760801
3.05 0.265279241307
3.1 0.25
3.15 0.229978925184
3.2 0.213119072708
3.25 0.193888303477
3.3 0.176765015806
3.35 0.166754478398
3.4 0.155953635406
3.45 0.144099051633
3.5 0.132771338251
3.55 0.120126448894
3.6 0.108798735511
3.65 0.103793466807
3.7 0.095626975764
3.75 0.0866701791359
3.8 0.0782402528978
3.85 0.0692834562698
3.9 0.0616438356164
3.95 0.0576923076923
4.0 0.0553213909378
4.05 0.0511064278188
4.1 0.04531085353
4.15 0.0384615384615
4.2 0.0358271865121
4.25 0.0331928345627
4.3 0.0310853530032
4.35 0.0305584826133
4.4 0.0276606954689
4.45 0.0255532139094
4.5 0.0239726027397
4.55 0.0218651211802
4.6 0.0221285563751
4.65 0.0213382507903
4.7 0.0192307692308
4.75 0.0184404636459
4.8 0.0176501580611
4.85 0.0168598524763
4.9 0.0152792413066
4.95 0.0147523709168
5.0 0.013698630137
5.05 0.0131717597471
5.1 0.0113277133825
5.15 0.0113277133825
5.2 0.00869336143309
5.25 0.00763962065332
5.3 0.00684931506849
5.35 0.00737618545838
5.4 0.00658587987355
5.45 0.00632244467861
5.5 0.00605900948367
5.55 0.00579557428872
5.6 0.00474183350896
5.65 0.00447839831401
5.7 0.00421496311907
5.75 0.00368809272919
5.8 0.00342465753425
5.85 0.00342465753425
5.9 0.00342465753425
5.95 0.00342465753425
6.0 0.0031612223393
6.05 0.0031612223393
6.1 0.0031612223393
6.15 0.00289778714436
6.2 0.00263435194942
6.25 0.00263435194942
6.3 0.00210748155954
6.35 0.00184404636459
6.4 0.00210748155954
6.45 0.00237091675448
6.5 0.00210748155954
6.55 0.00210748155954
6.6 0.00184404636459
6.65 0.00184404636459
6.7 0.00184404636459
6.75 0.00184404636459
6.8 0.00184404636459
6.85 0.00184404636459
6.9 0.00184404636459
6.95 0.00184404636459
7.0 0.00184404636459
7.05 0.00184404636459
7.1 0.00184404636459
7.15 0.00184404636459
7.2 0
