ratio Count
0 0.0
0.05 0.0
0.1 0.0
0.15 0.0
0.2 0.0
0.25 0.0
0.3 0.0
0.35 0.0
0.4 0.0
0.45 0.0
0.5 0.0
0.55 0.0
0.6 0.0
0.65 0.0
0.7 0.0833333333333
0.75 0.0833333333333
0.8 0.0833333333333
0.85 0.0833333333333
0.9 0.208333333333
0.95 0.208333333333
1.0 0.25
1.05 0.291666666667
1.1 0.416666666667
1.15 0.583333333333
1.2 0.708333333333
1.25 0.708333333333
1.3 0.75
1.35 0.666666666667
1.4 0.666666666667
1.45 0.791666666667
1.5 0.791666666667
1.55 0.708333333333
1.6 1.0
1.65 0.916666666667
1.7 0.833333333333
1.75 0.791666666667
1.8 0.791666666667
1.85 0.833333333333
1.9 0.958333333333
1.95 0.833333333333
2.0 0.916666666667
2.05 0.958333333333
2.1 0.833333333333
2.15 0.791666666667
2.2 1.0
2.25 0.875
2.3 0.791666666667
2.35 0.708333333333
2.4 0.625
2.45 0.625
2.5 0.666666666667
2.55 0.666666666667
2.6 0.75
2.65 0.708333333333
2.7 0.625
2.75 0.541666666667
2.8 0.583333333333
2.85 0.666666666667
2.9 0.708333333333
2.95 0.666666666667
3.0 0.666666666667
3.05 0.583333333333
3.1 0.583333333333
3.15 0.5
3.2 0.583333333333
3.25 0.583333333333
3.3 0.5
3.35 0.541666666667
3.4 0.458333333333
3.45 0.5
3.5 0.5
3.55 0.416666666667
3.6 0.458333333333
3.65 0.458333333333
3.7 0.458333333333
3.75 0.416666666667
3.8 0.416666666667
3.85 0.458333333333
3.9 0.416666666667
3.95 0.416666666667
4.0 0.375
4.05 0.375
4.1 0.333333333333
4.15 0.416666666667
4.2 0.375
4.25 0.416666666667
4.3 0.333333333333
4.35 0.333333333333
4.4 0.291666666667
4.45 0.291666666667
4.5 0.291666666667
4.55 0.291666666667
4.6 0.333333333333
4.65 0.333333333333
4.7 0.291666666667
4.75 0.25
4.8 0.25
4.85 0.25
4.9 0.25
4.95 0.25
5.0 0.25
5.05 0.208333333333
5.1 0.166666666667
5.15 0.208333333333
5.2 0.166666666667
5.25 0.166666666667
5.3 0.125
5.35 0.125
5.4 0.125
5.45 0.0833333333333
5.5 0.0833333333333
5.55 0.0833333333333
5.6 0.0416666666667
5.65 0
